,Empresa,knn_MAE,knn_train_RMSE,knn_test_RMSE,xgb_MAE,xgb_train_RMSE,xgb_test_RMSE,ARIMA_MAE,ARIMA_train_RMSE,ARIMA_test_RMSE,RF_MAE,RF_train_RMSE,RF_test_RMSE,Lasso_MAE,Lasso_train_RMSE,Lasso_test_RMSE
116,Grupo Mateus,0.00575361557248551,0.00328381170209159,0.00575361557248551,0.007100700106607749,0.00464519700860255,0.007100700106607749,0.00846942793172168,0.00544221334505613,0.00846942793172168,0.0070666112654714204,0.00456750931421702,0.0070666112654714204,0.00710070009735852,0.00464519700860255,0.00710070009735852
117,Grupo Natura,0.017144344552421704,0.014242431950228266,0.017144344552421704,0.02940014449496061,0.02842207940781341,0.02940014449496061,0.028077476005809898,0.024715955848270542,0.028077476005809898,0.023461792429911272,0.016798813029749015,0.023461792429911272,0.029400144426734248,0.028422079407813418,0.029400144426734248
118,Grupo Sbf,0.0030757122825230752,0.00296635400342155,0.0030757122825230752,0.004098931924177609,0.004286366969007642,0.004098931924177609,0.003632181534042925,0.003957730625304991,0.003632181534042925,0.004078425324585413,0.004099281176245283,0.004078425324585413,0.004098931917591133,0.004286366969007642,0.004098931917591133
119,Guararapes,0.004104666036721835,0.003231171508897859,0.004104666036721835,0.006260686632711261,0.006501908634825428,0.006260686632711261,0.006973911292326436,0.006107688055010941,0.006973911292326436,0.005543185962853297,0.004146374560108349,0.005543185962853297,0.00626068663030952,0.006501908634825428,0.00626068663030952
120,Habitasul,0.0011795649328140698,0.0007035778122544195,0.0011795649328140698,0.0013435185255166774,0.0008928889341669362,0.0013435185255166774,0.0016279175257772555,0.0010144394662679277,0.0016279175257772555,0.0010651056161790494,0.0005221393869508222,0.0010651056161790494,0.0013435185260087974,0.0008928889341669362,0.0013435185260087974
121,Hapvida,0.018444888472206194,0.013212198176114014,0.018444888472206194,0.021283156412921972,0.0188465554771196,0.021283156412921972,0.022740817625302202,0.017455575843738764,0.022740817625302202,0.01902773681887903,0.013469084912348356,0.01902773681887903,0.02128315641874643,0.0188465554771196,0.02128315641874643
122,Hbr Realty,0.002337325193082908,0.004126564134052058,0.002337325193082908,0.0026942248507832753,0.005404394657985733,0.0026942248507832753,0.0034021518194661,0.005806104743040233,0.0034021518194661,0.0026305941426943685,0.0052330920675377245,0.0026305941426943685,0.0026942249133570084,0.005404394657985725,0.0026942249133570084
123,Helbor,0.0030383572419598556,0.0026106991214633205,0.0030383572419598556,0.005907818199453499,0.006535805033202869,0.005907818199453499,0.006206965296779562,0.0062720534551990465,0.006206965296779562,0.0045824167801144415,0.0043832366629474335,0.0045824167801144415,0.005907818197076886,0.006535805033202866,0.005907818197076886
124,Hidrovias,0.005623257336776222,0.003917872907976678,0.005623257336776222,0.0060072459445284,0.0058276595724842065,0.0060072459445284,0.006211341600889193,0.00607527653799935,0.006211341600889193,0.005620551690042615,0.005317447226084915,0.005620551690042615,0.006007245954223857,0.0058276595724842065,0.006007245954223857
125,Hypera,0.010507706125080575,0.011659326935478416,0.010507706125080575,0.016026107945435887,0.022014986708228833,0.016026107945435887,0.015420834522839249,0.020849311790295495,0.015420834522839249,0.012664169277616339,0.01483421152438832,0.012664169277616339,0.016026107947742476,0.022014986708228837,0.016026107947742476
126,Iguatemi SA,0.004290719938109278,0.004724362506661365,0.004290719938109278,0.008092764108832338,0.009644515777516342,0.008092764108832338,0.007377001127838271,0.010945169116132948,0.007377001127838271,0.005859533034328511,0.006758054633992795,0.005859533034328511,0.00809276413005654,0.009644515777516339,0.00809276413005654
127,Imc S/A,0.0021717290316476913,0.0036155475675741576,0.0021717290316476913,0.0023371547698165063,0.005014755810701294,0.0023371547698165063,0.0032678396536627505,0.005212578925870714,0.0032678396536627505,0.0019252212828239908,0.003674199459347097,0.0019252212828239908,0.002337154766377178,0.005014755810701294,0.002337154766377178
128,Infracomm,0.00460699773482092,0.0036591317689168602,0.00460699773482092,0.0061815826059879,0.00522930907020008,0.0061815826059879,0.00777067130319616,0.00551525838709606,0.00777067130319616,0.006228774655298379,0.005232920788377419,0.006228774655298379,0.00618158258353496,0.00522930907020008,0.00618158258353496
129,Intelbras,0.0025307960449104886,0.0035737632908634663,0.0025307960449104886,0.00353730983857865,0.005339908511379775,0.00353730983857865,0.003789482509658033,0.005470491580817017,0.003789482509658033,0.0034648679061627086,0.005164672645780175,0.0034648679061627086,0.0035373098312309666,0.005339908511379775,0.0035373098312309666
130,Iochp-Maxion,0.0040181702889283116,0.002762538627877585,0.0040181702889283116,0.00855899954419828,0.007301597684632563,0.00855899954419828,0.0075694623493562,0.005990365806031485,0.0075694623493562,0.005254378468295123,0.0038433178996107797,0.005254378468295123,0.008558999546515787,0.007301597684632563,0.008558999546515787
131,Irani,0.0020235788807010354,0.0013659830419397077,0.0020235788807010354,0.0025968241612950543,0.0023438861875950626,0.0025968241612950543,0.002518466219230405,0.0023659817052263925,0.002518466219230405,0.0020630253936621537,0.0013899554444715726,0.0020630253936621537,0.002596824161512029,0.0023438861875950626,0.002596824161512029
132,Isa Energia,0.008978215621670354,0.010221482694787537,0.008978215621670354,0.0141416302075695,0.018364878535832484,0.0141416302075695,0.01498029628226299,0.016621208658437584,0.01498029628226299,0.01093989267269776,0.011701877410245396,0.01093989267269776,0.014141630211906947,0.01836487853583248,0.014141630211906947
133,Itausa,0.010977679096263033,0.007419715348939813,0.010977679096263033,0.01773776188491604,0.01574444931103988,0.01773776188491604,0.017566846989689626,0.014923721529600127,0.017566846989689626,0.01513245716519716,0.009437851508607943,0.01513245716519716,0.017737761899802428,0.01574444931103988,0.017737761899802428
134,JBS,0.050438976123370255,0.055828520106382125,0.050438976123370255,0.08669281500247537,0.11202437601608967,0.08669281500247537,0.10760163702800014,0.11865144197661961,0.10760163702800014,0.06705743990519739,0.06859050196108325,0.06705743990519739,0.09250155381805673,0.1167193082247335,0.09250155381805673
135,JHSF Part,0.003890567645912114,0.0036838811658362466,0.003890567645912114,0.006885027126984021,0.007365425000254938,0.006885027126984021,0.005972530897423585,0.0056310204607466175,0.005972530897423585,0.004964635723210477,0.004731517127911646,0.004964635723210477,0.006885027129439433,0.007365425000254938,0.006885027129439433
136,JSL,0.014405904332506415,0.02367255704335095,0.014405904332506415,0.025707209838692117,0.0343988195511383,0.025707209838692117,0.02505662964775164,0.030576828761112833,0.02505662964775164,0.02479296348811964,0.032477522576342586,0.02479296348811964,0.025707209954803543,0.03439881955113829,0.025707209954803543
137,Jallesmachad,0.006160721440032567,0.00466470256061555,0.006160721440032567,0.008325355502393359,0.007007887122694067,0.008325355502393359,0.009307129008391158,0.0068490267798487665,0.009307129008391158,0.008213454638792434,0.006707316418891766,0.008213454638792434,0.008325355518616583,0.007007887122694067,0.008325355518616583
138,Joao Fortes,0.0035690698958619313,0.002486424208898319,0.0035690698958619313,0.0042854510403384505,0.0036484333360537998,0.0042854510403384505,0.0038425638982227334,0.004351591622054775,0.0038425638982227334,0.003869814824130742,0.0032547687725273063,0.003869814824130742,0.004285451046255969,0.0036484333360537998,0.004285451046255969
139,Josapar,0.0009075558229537522,0.0007818965157907757,0.0009075558229537522,0.0015237949625529496,0.0015168793154526838,0.0015237949625529496,0.00177460152739822,0.0016790823016028865,0.00177460152739822,0.0011925596316669355,0.0009590973475376486,0.0011925596316669355,0.0015237949621923566,0.0015168793154526838,0.0015237949621923566
140,Kepler Weber,0.0009664974754786251,0.000613581411135105,0.0009664974754786251,0.0009106295049022963,0.0006914010088951775,0.0009106295049022963,0.001298048188701538,0.0009029915508535199,0.001298048188701538,0.0007503192462786564,0.00048250076330947755,0.0007503192462786564,0.0009106295046029925,0.0006914010088951775,0.0009106295046029925
141,Klabin S/A,0.013224058754242781,0.01148001115721419,0.013224058754242781,0.02486018044657253,0.02655283967989545,0.02486018044657253,0.02505622686312371,0.028599208896017136,0.02505622686312371,0.01862529964180664,0.017936864128381698,0.01862529964180664,0.024860180446328213,0.02655283967989545,0.024860180446328213
142,Kora Saude,0.003422865024648206,0.01137038401715385,0.003422865024648206,0.0080150131309625,0.014499664939757764,0.0080150131309625,0.004908921756730278,0.016859168823387463,0.004908921756730278,0.007636113757540213,0.0145308379914935,0.007636113757540213,0.0080150133573111,0.014499664939757764,0.0080150133573111
143,Lavvi,0.0031398882558286616,0.007104587885942246,0.0031398882558286616,0.004684632700155392,0.009059312701980092,0.004684632700155392,0.003911865853229208,0.009420509347164362,0.003911865853229208,0.0047598725408480305,0.008665913498236354,0.0047598725408480305,0.004684632631918115,0.009059312701980092,0.004684632631918115
