,Empresa,RMSE_knn,RMSE_xgb,RMSE_ARIMA,RMSE_RF,RMSE_Lasso
100,Copel,0.004313504863970845,0.00454633437623893,0.005689278907671697,0.0038790542670689037,0.004546331440978738
101,Cosan,0.03467670978673402,0.03691144603825676,0.03991021797457079,0.03501126822965516,0.03691144809332444
102,Cosan Log,0.020083627833045223,0.019585609952155407,0.024878771776368512,0.019243505795264633,0.019585604779480122
103,Cosan Ltd,0.004005122223297216,0.006107327020375646,0.006816665936663823,0.006183150657993173,0.006107336631392978
104,Cosern,0.0006877505920183489,0.0006855758254153876,0.0009661680110700891,0.0004706071841294073,0.0006855770896801625
105,Coteminas,0.0005215437731771233,0.0005049687228436168,0.0005298305286428784,0.00045432516596013794,0.0005049725366187118
106,Cremer,0.00024769997393940806,0.00022063256258904722,0.0002519437036459351,0.00020274622193423543,0.00022063480410312633
107,Cristal,0.00027249240476576127,0.0002505311662586679,0.00029730500710106007,0.00021865471633556808,0.0002505297575708029
108,Cruzeiro Edu,0.0007640615345743644,0.0008475200822521657,0.0017875506793858724,0.0008097774269262403,0.0008475257591095997
109,Csn Mineracao,0.006880505920920548,0.008869223896805736,0.007456731720903785,0.008475850416319684,0.00886922182688296
110,Csu Digital,0.0001032398180402828,8.9054272612241e-05,0.00011097490512330793,8.548731979969328e-05,8.904923060051982e-05
111,Cury S/A,0.0011306563843724341,0.0010913739274036895,0.0015613977011699758,0.001063521128441372,0.0010913843569350093
112,Cvc Brasil,0.0015297669744461933,0.001531376671931638,0.001798437529054628,0.001430745791970555,0.0015313714372021032
113,Cyrela Realt,0.0015095519553622204,0.0016390381851843483,0.0018852075835110154,0.001352429897276205,0.0016390402512629725
114,D1000vfarma,0.0002552588211646679,0.00024176155568258537,9.485442482728606e-05,0.00020760184528843372,0.0002417515570194122
115,Dasa,0.00403650602733074,0.004111706458128259,0.004208806769706974,0.0033771683208554033,0.004111707850291181
116,Desktopsigma,0.0009659650648754344,0.0009668055090543856,0.0012426873629195693,0.0009060535069591992,0.000966809583752862
117,Dexco,0.001586371673819908,0.0015363404913917966,0.0018646342404431138,0.0012133547380101708,0.0015363394316011332
118,Dexxos Par,0.00018717970882463564,0.0001872985374325589,0.00021577206996600416,0.00017315206983493163,0.00018729563064795267
119,Dimed,0.0004411872674011716,0.00042476245403182046,0.0005107216916567394,0.00039705338958946336,0.00042476113811400234
120,Direcional,0.0013216603990608212,0.001172562903262781,0.0013430221194931904,0.0009431918847779285,0.0011725618504875393
121,Dohler,0.00010340753681897044,9.460320743955544e-05,6.184796975796525e-05,9.174748197406557e-05,9.460230515528594e-05
122,Dtcom Direct,7.887420638901514e-06,8.642967563984838e-06,1.3500926829246232e-05,7.559456611125067e-06,8.63653952836e-06
123,Dufry AG,0.016177645159978753,0.015414400807766949,0.01875026014849001,0.013552246147363093,0.015414401411660821
124,Ecorodovias,0.0023108352969593176,0.0023309687951007037,0.002416834716038657,0.0018689134850337946,0.002330966987993713
125,Elekeiroz,0.00010942733620603118,9.36483418194957e-05,0.000154015556923747,8.56278737805155e-05,9.364961838184165e-05
126,Elektro,0.001396863764787832,0.001492947944343313,0.0016818523735103086,0.0011308109354848468,0.0014929465086638589
127,Eletrobras,0.04490506092755514,0.05510901219417212,0.05699716367080863,0.051097918197965865,0.055109010173955864
128,Eletromidia,0.0005777568144814913,0.0006169809076365406,0.0010022592836185541,0.0006294969498602514,0.0006169845165429257
129,Eletropaulo,0.0025581655521940963,0.003208197467050613,0.003525035166321944,0.002422525151415032,0.003208201678191922
130,Emae,0.0004420205480764007,0.0004686852250783549,0.000502319664605702,0.00041974551060853496,0.000468688104731535
131,Embpar S/A,0.00024831759300491396,0.00022320060781301965,0.0002760799893689956,0.0002091392251770036,0.00022320473301759946
132,Embraer,0.01661078125332191,0.021530035078165043,0.026422335619059194,0.019179272451606572,0.021530034811056902
133,Embratel Part,0.0078020478727706686,0.008449338874416295,0.009033944672050495,0.007649376228140261,0.008449338040297742
134,Enauta Part,0.002061656213152464,0.001942097983787092,0.0024077483102994523,0.0015910121770698845,0.0019421011780375583
135,Encorpar,0.00029852512466317107,0.0002746380523293107,0.00015069758640122913,0.00027487676710134904,0.00027464283191477423
136,Energias BR,0.004563690911626518,0.004940267439440277,0.005159606302984061,0.004392380925342036,0.004940269679561367
137,Energisa,0.007487974712891216,0.007267525338274425,0.008343601726059077,0.0062131178605936985,0.007267523978471729
138,Energisa Mt,0.0013044262103825304,0.0013603198529122261,0.0016347693531821705,0.0011243574277200233,0.0013603215527380219
139,Enersul,0.00046684513332637915,0.0005837835455913543,0.00048383042420424463,0.00038588863833404564,0.0005837850695527224
140,Eneva,0.010717737733900418,0.011678385378383891,0.014003493934714633,0.010279901134225103,0.011678380643056582
141,Engie Brasil,0.0038101635602284718,0.0046406798502415395,0.005001655483939821,0.0038758612614651173,0.004640679343433488
142,Eqtl Maranhao,0.0010957668711828726,0.0012017677524734757,0.0013258212422083005,0.0008559211679551498,0.0012017702417054057
143,Eqtl Para,0.002515066326069406,0.0029014019614740996,0.003271839664974113,0.0022969886535253556,0.0029014050692893153
144,Equatorial,0.00805552258844584,0.008235217372797872,0.010221086789380177,0.006560661345603969,0.008235214789347715
145,Escelsa,0.003637802395932109,0.0036673606710969243,0.003548214012234472,0.0036041970295271272,0.003667362944179005
146,Espacolaser,0.00048485987012158,0.00042679112330697584,0.0005546279121562828,0.00041582298836727576,0.00042679244724776373
147,Estapar,0.0005825618118027176,0.0005825619824646466,0.0001009496281628719,0.000626547500046426,0.0005825618118027176
148,Eternit,0.00015631706740471533,0.00015571345834629837,0.0001516040795343568,0.00012305558084423437,0.00015571933764719695
149,Eucatex,0.0003316835460572053,0.0002995792607461296,0.00034570391608053326,0.000254069051140672,0.0002995820654368517
150,Eurofarma SA,0.0009245310273273212,0.0011517103714334936,0.0012566439528167279,0.0011455000517486716,0.0011517010752105541
151,Even,0.0007169889899452941,0.0007490427853914063,0.0007700968723820937,0.0006692290833634545,0.0007490521072976402
152,Evora,0.0012751161003891954,0.0011625869367578364,0.0014845559389195166,0.0010067315813884704,0.001162583631059963
153,Excelsior,1.0502906171825142e-05,9.904611532951936e-06,1.543386847430894e-05,8.07758619181845e-06,9.911239110942723e-06
154,Eztec,0.0013283978602595611,0.0011982300984864028,0.0014604590996275988,0.0010047021686432815,0.0011982295615306554
155,F Cataguazes,0.0005463900246090568,0.00047328561982131476,0.0006401056627001624,0.0004700680634202504,0.00047328287122878334
156,Fer Heringer,0.0011811437774609996,0.000977725558289585,0.0012088393483762152,0.0008491337421841114,0.0009777296184532533
157,Ferbasa,0.0007088512829406109,0.00061513217375233,0.0007558211426147749,0.000519812665579101,0.0006151390596248451
158,Fibria,0.0045122920864765215,0.005469719012377584,0.009233405250291662,0.00510412273039807,0.005469719165281102
159,Fica,0.00017183452134180967,0.00017021792998778333,0.0004261197058236943,0.00016450868626273458,0.00017021600314686149
160,Fleury,0.0030006716082029176,0.0027628840168944396,0.003157063042284447,0.002469986991164782,0.0027628883825039498
161,Flex S/A,8.039423760333999e-05,7.258133629516048e-05,9.529707251821716e-05,7.353577306108079e-05,7.257054775115179e-05
162,Focus ON,0.0008474602948114046,0.000834095099770682,0.0028622608511989027,0.0008274129641650765,0.0008341025254937596
163,Fornodeminas,6.681978801215025e-05,5.76222989077942e-05,0.00010308526958139724,5.722012016056e-05,5.7638084991844366e-05
164,Fras-Le,0.0006849834173335041,0.0006165947271320251,0.0007381833015873345,0.0005330561817893995,0.0006165886660650532
