,Empresa,knn_MAE,knn_train_RMSE,knn_test_RMSE,xgb_MAE,xgb_train_RMSE,xgb_test_RMSE,ARIMA_MAE,ARIMA_train_RMSE,ARIMA_test_RMSE,RF_MAE,RF_train_RMSE,RF_test_RMSE,Lasso_MAE,Lasso_train_RMSE,Lasso_test_RMSE
143,Lavvi,0.00019977931542876083,0.0002714832864423372,0.00019977931542876083,0.00018867762170501133,0.0003112620072252296,0.00018867762170501133,0.00023465841311577905,0.0003881939263007231,0.00023465841311577905,0.0001828011351426246,0.00030115380087325527,0.0001828011351426246,0.00018868406349612833,0.00031126199985566366,0.00018868406349612833
144,Light S/A,0.0015665776360637375,0.007478862146734897,0.0015665776360637375,0.003794411507960005,0.009725032599286974,0.003794411507960005,0.005257146805903571,0.010802592632274425,0.005257146805903571,0.0034271552289701344,0.008392732758286356,0.0034271552289701344,0.003794415436766857,0.009725032598926143,0.003794415436766857
145,Localiza,0.00011417562772675244,0.00012446016382870867,0.00011417562772675244,9.324655158201701e-05,0.0001372137318326035,9.324655158201701e-05,0.0001295790151205112,0.0001681146522444164,0.0001295790151205112,8.839887959356385e-05,0.00010196017561057719,8.839887959356385e-05,9.324687142837885e-05,0.00013721373075021898,9.324687142837885e-05
146,Log Com Prop,6.249541206675953e-05,6.339381126609603e-05,6.249541206675953e-05,5.6907750178843106e-05,7.461244226610034e-05,5.6907750178843106e-05,8.047711594902915e-05,8.807299628147551e-05,8.047711594902915e-05,5.3272939918323905e-05,6.47947192654415e-05,5.3272939918323905e-05,5.6904980978165076e-05,7.461243949302389e-05,5.6904980978165076e-05
147,Log-In,0.000566026033671111,0.0014502507700354798,0.000566026033671111,0.0009459944017866592,0.001966936832131927,0.0009459944017866592,0.0011399854009752242,0.0022078714511260798,0.0011399854009752242,0.000738727359889216,0.001609127831412985,0.000738727359889216,0.0009459903210674893,0.00196693683171941,0.0009459903210674893
148,Lojas Marisa,0.00016537175776599157,0.00018980482379588612,0.00016537175776599157,0.0001573953048165623,0.00025463218778376946,0.0001573953048165623,0.00023215458865404092,0.0002752297407495639,0.00023215458865404092,0.0001590845425895759,0.0001866084650119631,0.0001590845425895759,0.00015738997039769852,0.00025463218704145277,0.00015738997039769852
149,Lojas Renner,6.94713504275905e-05,0.00010483018007243796,6.94713504275905e-05,8.337417133100001e-05,0.00013466770708010501,8.337417133100001e-05,8.897103039512183e-05,0.000138336220650365,8.897103039512183e-05,7.482115638395173e-05,9.638236449820199e-05,7.482115638395173e-05,8.336903793066616e-05,0.0001346677055869775,8.336903793066616e-05
150,Lopes Brasil,0.0003286114174914555,0.00034861119686226155,0.0003286114174914555,0.00030796859191395295,0.0004395614682646949,0.00030796859191395295,0.000492893171019,0.0004873768242095308,0.000492893171019,0.0003076569012303773,0.00035605866855103335,0.0003076569012303773,0.0003079673444598399,0.0004395614678620667,0.0003079673444598399
151,Lupatech,0.00022106710371434416,0.0002475866357856194,0.00022106710371434416,0.0002452998189126238,0.0003522126846360883,0.0002452998189126238,0.0004995716896337705,0.00043014176619898613,0.0004995716896337705,0.000250869021217628,0.00027239448677430134,0.000250869021217628,0.0002452984515613388,0.00035221268374739835,0.0002452984515613388
152,Lwsa,0.0013930628922639047,0.0029328479647236874,0.0013930628922639047,0.0023932090370170685,0.0034425663317647877,0.0023932090370170685,0.0029579680977553325,0.0039131395958215,0.0029579680977553325,0.0021942054600046375,0.0031613263017694813,0.0021942054600046375,0.0023932103270995373,0.0034425663313016625,0.0023932103270995373
153,M.Diasbranco,0.00010899396100931078,0.0001558961207684646,0.00010899396100931078,9.257754347878044e-05,0.00017574536232490838,9.257754347878044e-05,0.0001380420604078146,0.00021429758658412403,0.0001380420604078146,8.496878512226751e-05,0.0001418557275755221,8.496878512226751e-05,9.25786193094381e-05,0.0001757453613016946,9.25786193094381e-05
154,MRV,7.539501153768273e-05,8.567483409858102e-05,7.539501153768273e-05,6.362799636797618e-05,9.615196100909796e-05,6.362799636797618e-05,0.00010928101519595021,0.0001560774894530779,0.00010928101519595021,6.067624515799533e-05,7.479550101458818e-05,6.067624515799533e-05,6.363356564647697e-05,9.615195881981762e-05,6.363356564647697e-05
155,Magaz Luiza,0.00033150873141014783,0.00024315918124839233,0.00033150873141014783,0.00033794329700621465,0.0003019541522439145,0.00033794329700621465,0.00043491620266951836,0.0003402407667261787,0.00043491620266951836,0.00035010228102681714,0.0002474416732309131,0.00035010228102681714,0.00033794228610313363,0.00030195415108239383,0.00033794228610313363
156,Mangels Indl,0.00042988380573355,0.0008052052708157501,0.00042988380573355,0.0003359037297157504,0.0007834195519025,0.0003359037297157504,0.00021583510612725,0.001351721397446375,0.00021583510612725,0.0003263432653240369,0.00078487253673,0.0003263432653240369,0.00033590630561614634,0.0007834195517494,0.00033590630561614634
157,Marcopolo,0.00010331314770587442,0.0001378563658678325,0.00010331314770587442,0.0001135684516550272,0.0001680216373255525,0.0001135684516550272,0.00015963755611261862,0.00019649451181576001,0.00015963755611261862,0.00011542178749256685,0.00012165857753669175,0.00011542178749256685,0.00011356244757057179,0.00016802163631189,0.00011356244757057179
158,Marfrig,0.0002663603379007249,0.00014175719688315423,0.0002663603379007249,0.0002560279470904122,0.00017116498422009753,0.0002560279470904122,0.0003607368988323384,0.00019110083634912403,0.0003607368988323384,0.0002630421716508632,0.00013428607019535916,0.0002630421716508632,0.00025602695694184853,0.00017116498221677118,0.00025602695694184853
159,Mater Dei,0.00016656723255456483,6.354294071144186e-05,0.00016656723255456483,0.0001449831660879609,7.208048564363718e-05,0.0001449831660879609,0.00024938054616831424,0.00010875079872728223,0.00024938054616831424,0.00014408168967580874,7.060177188304844e-05,0.00014408168967580874,0.00014498523646176392,7.208048237755228e-05,0.00014498523646176392
160,Melhor SP,0.00037352742830385805,0.0004028354787260555,0.00037352742830385805,0.0004605732395545634,0.0005408970092107466,0.0004605732395545634,0.0006780607117580441,0.0006790671743117461,0.0006780607117580441,0.0004061484768188366,0.0004396142106573385,0.0004061484768188366,0.0004605747817052013,0.000540897007030002,0.0004605747817052013
161,Meliuz,0.0001605830621192203,0.00010260919873911015,0.0001605830621192203,0.00012934152394602155,0.00011754772224551522,0.00012934152394602155,0.00019302577540916566,0.00016284891496525812,0.00019302577540916566,0.00012745064610485214,0.00011220187923728283,0.00012745064610485214,0.00012933528716965834,0.00011754772018202687,0.00012933528716965834
162,Melnick,0.0001616864261068152,0.00013847415806664303,0.0001616864261068152,0.00014665826064480726,0.00015614272414303897,0.00014665826064480726,0.0002159403345293972,0.00021252618952880686,0.0002159403345293972,0.00014855191268061714,0.0001478608348904877,0.00014855191268061714,0.00014666208596914924,0.0001561427217857584,0.00014666208596914924
163,Metal Leve,0.00014877643500609954,0.00022325215845083986,0.00014877643500609954,0.00015992379856921826,0.00029358909976765125,0.00015992379856921826,0.0002647605097682116,0.00033082202758200004,0.0002647605097682116,0.00019591907439957647,0.000239176131133356,0.00019591907439957647,0.00015992554538005784,0.0002935890990332795,0.00015992554538005784
164,Metalfrio,0.00022717236807010015,0.00014347486890061993,0.00022717236807010015,0.00021982165596814542,0.00019001821335825088,0.00021982165596814542,0.0004289311856157949,0.00023914869935703337,0.0004289311856157949,0.00022355881902701898,0.0001593506878995459,0.00022355881902701898,0.00021981848195884343,0.0001900182114225604,0.00021981848195884343
165,Metisa,0.00017486661588700305,0.00033914815647636924,0.00017486661588700305,0.00022067101943181795,0.0004582099510582231,0.00022067101943181795,0.0003196460273578547,0.0008797164259058538,0.0003196460273578547,0.00017848228140662317,0.0003492014169161359,0.00017848228140662317,0.00022066991245503904,0.0004582099507365205,0.00022066991245503904
166,Mills,0.00013212150029876934,0.0001264958221846882,0.00013212150029876934,0.0001144280493442539,0.00015683936617080137,0.0001144280493442539,0.0001587773724007424,0.00017662969081084508,0.0001587773724007424,0.00011130430896287375,0.0001078789070750412,0.00011130430896287375,0.00011442336081389307,0.00015683936481413916,0.00011442336081389307
167,Minerva,8.792513360179981e-05,9.039382374113837e-05,8.792513360179981e-05,9.524582238214101e-05,0.00011814273853438056,9.524582238214101e-05,0.00018223073552140785,0.0001461659206005786,0.00018223073552140785,8.53706887606468e-05,9.104234365420516e-05,8.53706887606468e-05,9.524249422788454e-05,0.00011814273678231815,9.524249422788454e-05
168,Mitre Realty,0.0004057968854537794,0.00033391151015296593,0.0004057968854537794,0.00029737003505966576,0.00039194544519989197,0.00029737003505966576,0.00044853354339203036,0.0004925403382648817,0.00044853354339203036,0.0003391685440373767,0.00036459651424713545,0.0003391685440373767,0.0002973712472516421,0.00039194544239462933,0.0002973712472516421
