,Empresa,RMSE_knn,RMSE_xgb,RMSE_ARIMA,RMSE_RF,RMSE_Lasso
155,Embpar S/A,0.00020197653007388228,0.00016966042295732528,0.0002847867621987577,0.00015940558267437017,0.00016966131711053086
156,Embraer,0.015666093107467634,0.0212696635778765,0.02516074805888385,0.01893477663741007,0.021269665387454405
157,Embratel Part,0.0050712167090349375,0.005310576195911845,0.008918096032249431,0.005045302970125213,0.005310576899136654
158,Enauta Part,0.003140837331700828,0.0031937913965053456,0.0043656163425140684,0.002745030183504317,0.003193792591004347
159,Encorpar,0.0001785373814996044,0.00016358052895220653,0.00021866810255286983,0.00016521749177790773,0.00016358269462109524
160,Energias BR,0.005017718525993462,0.006002144342213018,0.006846886235221572,0.004879247118409188,0.006002145772386427
161,Energisa,0.007266350634648119,0.008167226873693085,0.009947857984590889,0.006943025533573493,0.008167225177343045
162,Energisa Mt,0.0016580039996543236,0.0017368402679399293,0.002024400254399794,0.0013954276765415204,0.0017368413376190718
163,Enersul,0.0007648376915258007,0.0007443702352302528,0.0008217604832792498,0.0005488832241252678,0.0007443721777797661
164,Eneva,0.010196709346352618,0.010623057436635285,0.013145579300752802,0.009160862752830073,0.010623057375842097
165,Engie Brasil,0.004010589692681104,0.00503021766487867,0.0052463164804051506,0.0039453497011504406,0.005030217273863592
166,Enjoei,0.00017077678817816014,0.000305133576648427,4.7197981249129967e-05,0.000344330759930275,0.0003051270223983558
167,Eqtl Maranhao,0.0015604964541841501,0.0017030743009923718,0.0025635782693396495,0.001232378900861597,0.0017030748458933807
168,Eqtl Para,0.00267358068234054,0.0028668628847902397,0.0032480749720097896,0.002192898426933023,0.0028668644215556053
169,Equatorial,0.008668422126260046,0.010838682115121399,0.013588133299920223,0.00866954486814088,0.010838681775241226
170,Escelsa,0.0035846354082554517,0.0037567617448518863,0.004085792949087414,0.0034356802154592195,0.003756761998346129
171,Espacolaser,0.0005455905063359031,0.0004951547099532145,0.0007395542251477366,0.00047836400191978736,0.0004951518446158946
172,Estapar,0.0015300372113660199,0.0015300412406245023,0.0006141299942194478,0.0015730441225039193,0.0015300372113660199
173,Eternit,0.00014702004430264842,0.0001397885197038621,0.00016528950027730867,0.00011382712806541616,0.00013978798575292538
174,Eucatex,0.00039157885710850685,0.00034891456388685466,0.0004132560734897696,0.0002763023501771271,0.0003489144795752355
175,Eurofarma SA,0.0038761428694589137,0.003440301126794227,0.0035412032901654417,0.0034334220821235976,0.003440302707859232
