Nome,Data,FCLA
Alfa Holding,2023-04-01,310.0
Alfa Holding,2023-07-01,482.0
Alfa Holding,2023-10-01,1.0
Alfa Holding,2024-01-01,26.0
Alfa Holding,2024-04-01,306.0
Alfa Holding,2024-07-01,73678.0
Alfa Holding,2024-10-01,1278.0
Aliperti,2014-01-01,3591.0
Aliperti,2014-04-01,-2385.0
Aliperti,2014-07-01,-8949.0
Aliperti,2014-10-01,2396.0
Aliperti,2015-01-01,6480.0
Aliperti,2015-04-01,3195.0
Aliperti,2015-07-01,-5125.0
Aliperti,2015-10-01,7286.0
Aliperti,2016-01-01,-5569.0
Aliperti,2016-04-01,-4354.0
Aliperti,2016-07-01,-6990.0
Aliperti,2016-10-01,1864.0
Aliperti,2017-01-01,-2763.0
Aliperti,2017-04-01,-101.0
Aliperti,2017-07-01,-6167.0
Aliperti,2017-10-01,14476.0
Aliperti,2018-01-01,-4034.0
Aliperti,2018-04-01,7334.0
Aliperti,2018-07-01,-13999.0
Aliperti,2018-10-01,4610.0
Aliperti,2019-01-01,-3354.0
Aliperti,2019-04-01,6356.0
Aliperti,2019-07-01,11653.0
Aliperti,2019-10-01,4921.0
Aliperti,2020-01-01,-5041.0
Aliperti,2020-04-01,1180.0
Aliperti,2020-07-01,31391.0
Aliperti,2020-10-01,3913.0
Aliperti,2021-01-01,-7501.0
Aliperti,2021-04-01,1188.0
Aliperti,2021-07-01,7043.0
Aliperti,2021-10-01,10453.0
Aliperti,2022-01-01,-2446.0
Aliperti,2022-04-01,3316.0
Aliperti,2022-07-01,4673.0
Aliperti,2022-10-01,-8855.0
Aliperti,2023-01-01,-3526.0
Aliperti,2023-04-01,19249.0
Aliperti,2023-07-01,-1500.0
Aliperti,2023-10-01,12618.0
Aliperti,2024-01-01,-5899.0
Aliperti,2024-04-01,138.0
Aliperti,2024-07-01,-7787.0
Aliperti,2024-10-01,36311.0
All Norte,2014-01-01,-320928.0
All Norte,2014-04-01,256020.0
All Norte,2014-07-01,-64275.0
All Norte,2014-10-01,169339.0
All Norte,2015-01-01,-190116.0
All Norte,2015-04-01,418975.0
All Norte,2015-07-01,100287.0
All Norte,2015-10-01,79421.0
All Norte,2016-01-01,225436.0
All Norte,2016-04-01,140770.0
All Norte,2016-07-01,183424.0
All Norte,2016-10-01,-1222405.0
All Norte,2017-01-01,-20588.0
All Norte,2017-04-01,58194.0
All Norte,2017-07-01,172490.0
All Norte,2017-10-01,310145.0
All Norte,2018-01-01,160678.0
All Norte,2018-04-01,118736.0
All Norte,2018-07-01,406476.0
All Norte,2018-10-01,161157.0
All Norte,2019-01-01,157569.0
All Norte,2019-04-01,234772.0
All Norte,2019-07-01,560602.0
