,Empresa,knn_MAE,knn_train_RMSE,knn_test_RMSE,xgb_MAE,xgb_train_RMSE,xgb_test_RMSE,ARIMA_MAE,ARIMA_train_RMSE,ARIMA_test_RMSE,RF_MAE,RF_train_RMSE,RF_test_RMSE,Lasso_MAE,Lasso_train_RMSE,Lasso_test_RMSE
96,Estapar,0.002682999631408325,0.00563809563549095,0.002682999631408325,0.0028272117301262247,0.00668550151096205,0.0028272117301262247,0.0034492778188025246,0.008938351943215725,0.0034492778188025246,0.0030367045052385002,0.006695973352900951,0.0030367045052385002,0.00282721175557365,0.00668550151096205,0.00282721175557365
97,Eternit,0.0007003478905210122,0.0005069810042691228,0.0007003478905210122,0.0008215573817693798,0.0007356101835001542,0.0008215573817693798,0.0012615614059418784,0.0009801628567115402,0.0012615614059418784,0.0007288621724870672,0.00047136624792390577,0.0007288621724870672,0.0008215573792805351,0.0007356101835001542,0.0008215573792805351
98,Eucatex,0.000698537448908281,0.000315881968821225,0.000698537448908281,0.0011441197213893169,0.0006955028351426824,0.0011441197213893169,0.0013640391076227504,0.0008227138489841325,0.0013640391076227504,0.0010113310225730169,0.00041871601315389255,0.0010113310225730169,0.0011441197213824775,0.0006955028351426824,0.0011441197213824775
99,Even,0.002550869148703341,0.0022325507430746333,0.002550869148703341,0.005279365158573275,0.005427984790244797,0.005279365158573275,0.004813203356501272,0.00589433929254971,0.004813203356501272,0.00402770754650899,0.003755591359073084,0.00402770754650899,0.0052793651711194566,0.005427984790244797,0.0052793651711194566
100,Excelsior,5.4418095912699745e-05,3.7834475165319185e-05,5.4418095912699745e-05,5.3755374550314534e-05,4.691842979879664e-05,5.3755374550314534e-05,7.89615985051043e-05,6.559935987737526e-05,7.89615985051043e-05,4.935197947195108e-05,3.284302589813292e-05,4.935197947195108e-05,5.375537452224343e-05,4.691842979879663e-05,5.375537452224343e-05
101,Eztec,0.0038285526553478986,0.004269960096942242,0.0038285526553478986,0.0042959905758954,0.005574515798800394,0.0042959905758954,0.00452449840145879,0.005729298373727128,0.00452449840145879,0.003339078620728205,0.0037867889820803447,0.003339078620728205,0.004295990576917134,0.005574515798800394,0.004295990576917134
102,Fer Heringer,0.0042303549635164086,0.0038190968213850543,0.0042303549635164086,0.0049013905056184606,0.006100427441098359,0.0049013905056184606,0.00801180350088694,0.005990858910641266,0.00801180350088694,0.005186362919891446,0.0048851225589610124,0.005186362919891446,0.004901390505451431,0.006100427441098359,0.004901390505451431
103,Ferbasa,0.001517675093093685,0.0010064531257495824,0.001517675093093685,0.0015146241189264846,0.00138464648257266,0.0015146241189264846,0.001849478705397795,0.0015569190147133125,0.001849478705397795,0.0011997479307685756,0.0008789810171957475,0.0011997479307685756,0.0015146241200339773,0.00138464648257266,0.0015146241200339773
104,Fica,0.0003598017991807822,0.0004376785835227334,0.0003598017991807822,0.00029905777392537965,0.0005079057078397153,0.00029905777392537965,0.00041990815247957473,0.000819723276820618,0.00041990815247957473,0.0002605903281162074,0.0003764361165174282,0.0002605903281162074,0.0002990577740153516,0.0005079057078397153,0.0002990577740153516
105,Fictoralimen,4.926694805256852e-05,3.573292928174312e-05,4.926694805256852e-05,4.497772938921729e-05,3.617953044448044e-05,4.497772938921729e-05,7.674002435533588e-05,4.93483499241526e-05,7.674002435533588e-05,4.423131393272391e-05,3.6221583799455004e-05,4.423131393272391e-05,4.4977729269933836e-05,3.617953044448043e-05,4.4977729269933836e-05
