,Empresa,RMSE_knn,RMSE_xgb,RMSE_ARIMA,RMSE_RF,RMSE_Lasso
100,Excelsior,9.061899318154805e-05,9.270428584006846e-05,0.00011947055209122204,8.57506563672759e-05,8.57506563672759e-05
101,Eztec,0.0057373281056695,0.00637308455784485,0.006505390494036684,0.005415304864246129,0.005415304864246129
102,Fer Heringer,0.009335249071799796,0.010692615592147414,0.01604231420411012,0.011687668640452701,0.011687668640452701
103,Ferbasa,0.0018230820059304722,0.0019186452393722413,0.0022386998344912728,0.0015138572158963283,0.0015138572158963283
104,Fica,0.0004994975571437517,0.0004615052977404117,0.0006606546479470306,0.00043110543905524473,0.00043110543905524473
105,Fictoralimen,5.9152094357562297e-05,5.6072853005669017e-05,9.362269280150581e-05,5.562288465164464e-05,5.562288465164464e-05
106,Fleury,0.004916222431518711,0.00919934826076503,0.008390466230039102,0.007395572124298789,0.007395572124298789
107,Fras-Le,0.00285642923197858,0.003690201935296364,0.004092120200677418,0.0030584406330137707,0.0030584406330137707
108,Gafisa,0.0031558346076484985,0.0054356779221411385,0.006530476321481139,0.004239880698938727,0.004239880698938727
109,Generalshopp,0.008231379870565818,0.009687426518312716,0.011002210920004241,0.008972591998635263,0.008972591998635263
110,Ger Paranap,0.004856365556380356,0.007904232028632567,0.008642266996145634,0.00662773522530425,0.00662773522530425
111,Gerdau,0.02536225553574786,0.04420606572890752,0.03968544464878814,0.037982971677167736,0.037982971677167736
112,Gerdau Met,0.02424900398382887,0.04460296401381808,0.04427858289126507,0.04095651623737697,0.04095651623737697
113,Gps,0.013693917638303226,0.019142733853075484,0.02148360112647311,0.019369158895174043,0.019369158895174043
114,Grazziotin,0.0005528397035754276,0.0006114897428659316,0.0009055891698263255,0.0005266359621997165,0.0005266359621997165
115,Grendene,0.0040989699815721075,0.004850325285509918,0.005242082845452222,0.003962336656157328,0.003962336656157328
116,Grupo Mateus,0.010196543713379115,0.011710099268959311,0.013088008726591058,0.011629686975424968,0.011629686975424968
117,Grupo Natura,0.024457833784637725,0.04060774429849384,0.036174978831262236,0.032809238154766926,0.032809238154766926
118,Grupo Sbf,0.002892810597974848,0.004475677600898117,0.004298697098403973,0.004501470843038484,0.004501470843038484
119,Guararapes,0.005097995601334268,0.008855386849329946,0.009032435252114992,0.0077370584411319,0.0077370584411319
120,Habitasul,0.001143332279423447,0.001804959094127877,0.002176938639929757,0.0015709186095735539,0.0015709186095735539
121,Hapvida,0.03178631932596192,0.035223382061620616,0.041208385743098236,0.03511509770628833,0.03511509770628833
122,Hbr Realty,0.00222876701823619,0.003515702122913379,0.004723224099697578,0.0035219643775035747,0.0035219643775035747
123,Helbor,0.003942948513554211,0.0073782225454111,0.007441176668083611,0.0061700591049450165,0.0061700591049450165
124,Hidrovias,0.005045304616055755,0.007483343488544823,0.007630165943597329,0.007087448549664676,0.007087448549664676
125,Hypera,0.016789771655761728,0.022480499712250763,0.02239169392071674,0.020532038607894376,0.020532038607894376
126,Iguatemi SA,0.005865358859162982,0.011193904935733839,0.01032281690776915,0.008817629766253271,0.008817629766253271
127,Imc S/A,0.003886500161007055,0.004439918348586338,0.006146709248004869,0.00410678550809333,0.00410678550809333
128,Infracomm,0.006373063319262262,0.0071677724887201895,0.008103231881932474,0.007276584938623333,0.007276584938623333
129,Intelbras,0.003745120142730978,0.004495194253371312,0.005937762068677682,0.004539654405680342,0.004539654405680342
130,Iochp-Maxion,0.00664682912010496,0.011553636391239923,0.00977529045718205,0.008488599182049628,0.008488599182049628
131,Irani,0.002530382006927057,0.004162038391600335,0.003805575748895245,0.003369071702150782,0.003369071702150782
132,Isa Energia,0.01603305667335054,0.021298715833392278,0.026026801834930096,0.01883429733177301,0.01883429733177301
133,Itausa,0.013676778255218958,0.02226091622761262,0.021846106577596065,0.019471956337000093,0.019471956337000093
134,JBS,0.0869734086009669,0.13572369139160156,0.15525717229701308,0.10589916739660206,0.10589916739660206
135,JHSF Part,0.005665036046222314,0.009155905211428802,0.007897115618777928,0.0075503025785182394,0.0075503025785182394
136,JSL,0.02209581766248564,0.031822868866087525,0.03365039882126076,0.030449920184069258,0.030449920184069258
137,Jallesmachad,0.006557160198178174,0.010091567307160468,0.011322490899798395,0.010021545188493939,0.010021545188493939
138,Joao Fortes,0.003959559901233543,0.005735139232942026,0.005212861575052041,0.005249007411786281,0.005249007411786281
139,Josapar,0.0010094382759121066,0.0019690761154123174,0.0021389243826161913,0.0016738668533877127,0.0016738668533877127
140,Kepler Weber,0.0013041458628042027,0.0014671552379869072,0.0022566895669530727,0.0013837622549877466,0.0013837622549877466
141,Klabin S/A,0.01866193781034016,0.0322389135692561,0.03292234901150559,0.027150144511705446,0.027150144511705446
142,Kora Saude,0.007750768269529471,0.009624480524050684,0.008401524899898465,0.009810055118845884,0.009810055118845884
143,Lavvi,0.0039655451301105985,0.006136226262498919,0.004915941943891042,0.006091837472586195,0.006091837472586195
144,Light S/A,0.04750498798572257,0.06391307178695947,0.06668392796436098,0.055125754498835375,0.055125754498835375
145,Localiza,0.02174176358262672,0.035425622896901834,0.03321074161038262,0.030133866921873045,0.030133866921873045
146,Log Com Prop,0.0032800816746099515,0.004994942001006669,0.005850796515095535,0.004399104318219313,0.004399104318219313
147,Log-In,0.007743349954008206,0.009003485892369536,0.013793063509498577,0.008872515486756669,0.008872515486756669
148,Lojas Marisa,0.002418356158536216,0.0038326072475481808,0.004076348456831492,0.0033851991611063116,0.0033851991611063116
149,Lojas Renner,0.014649638767880674,0.01715948648941963,0.023545290750148846,0.01704961266046483,0.01704961266046483
