,Empresa,Data,Real,Previsto,Erro Absoluto,Train RMSE,Test RMSE,Overfitting?,Underfitting?,Erro
2193,Elektro,2019-10-01,-0.00603604094026422,-0.0035315321171188433,0.002504508823145377,0.00626682949457688,0.002504508823145377,False,True,-0.002504508823145377
2194,Elektro,2020-01-01,-0.00018200829131309604,-0.0006600492681107141,0.00047804097679761805,0.006029849401418214,0.00047804097679761805,False,True,0.00047804097679761805
2195,Elektro,2020-04-01,0.0045291314935687055,0.0019436499654286164,0.002585481528140089,0.005761876126331632,0.002585481528140089,False,True,0.002585481528140089
2196,Elektro,2020-07-01,-0.008422276023220654,-0.0044327641703647115,0.003989511852855942,0.005744841541903565,0.003989511852855942,False,True,-0.003989511852855942
2197,Elektro,2020-10-01,0.005791424617959562,0.002562865869666651,0.003228558748292911,0.005720385005543216,0.003228558748292911,False,True,0.003228558748292911
2198,Elektro,2021-01-01,-0.009092585940228104,-0.0046665848206522385,0.004426001119575865,0.005304624318817072,0.004426001119575865,False,True,-0.004426001119575865
2199,Elektro,2021-04-01,0.007493986106458017,0.009640710872355225,0.0021467247658972077,0.005058830298987157,0.0021467247658972077,False,True,-0.0021467247658972077
2200,Elektro,2021-07-01,-0.0009750339731953162,-0.0015421181019248042,0.000567084128729488,0.005095358223356327,0.000567084128729488,False,True,0.000567084128729488
2201,Elektro,2021-10-01,-0.013784936137298143,-0.0052237429820416485,0.008561193155256493,0.0049952585492904576,0.008561193155256493,False,True,-0.008561193155256493
2202,Elektro,2022-01-01,0.008870705859174377,0.004686830767387562,0.004183875091786815,0.004997809777132344,0.004183875091786815,False,True,0.004183875091786815
2203,Elektro,2022-04-01,0.019898686527582754,0.004462343493196673,0.01543634303438608,0.0049910155432747695,0.01543634303438608,True,False,0.01543634303438608
2204,Elektro,2022-07-01,-0.020544816798429788,-0.00455212723458141,0.01599268956384838,0.005524322913089936,0.01599268956384838,True,False,-0.01599268956384838
2205,Elektro,2022-10-01,0.01669335322556509,0.0015532653440558533,0.015140087881509235,0.005729236296721459,0.015140087881509235,True,False,0.015140087881509235
2206,Elektro,2023-01-01,-0.008154118458161497,-0.005583466319540794,0.002570652138620703,0.005805143112812519,0.002570652138620703,False,True,-0.002570652138620703
2207,Elektro,2023-04-01,-0.005566954082603548,0.0028072441181570544,0.008374198200760602,0.005753943289861015,0.008374198200760602,False,True,-0.008374198200760602
2208,Elektro,2023-07-01,0.010056448702478127,0.0009326170725653111,0.009123831629912815,0.005814255040348101,0.009123831629912815,False,True,0.009123831629912815
2209,Elektro,2023-10-01,-0.005564260145519251,-0.0033332606542139046,0.0022309994913053462,0.0059397980326311725,0.0022309994913053462,False,True,-0.0022309994913053462
2210,Elektro,2024-01-01,-0.0017676179811092485,-0.001668007672184004,9.961030892524452e-05,0.005707802894601253,9.961030892524452e-05,False,True,-9.961030892524452e-05
2211,Elektro,2024-04-01,0.010179562524002428,0.0022159081568477973,0.00796365436715463,0.005569184351416064,0.00796365436715463,False,True,0.00796365436715463
2212,Elektro,2024-07-01,-0.0067586694782221235,-0.0017835413146861177,0.004975128163536006,0.005698657671840421,0.004975128163536006,False,True,-0.004975128163536006
2213,Elektro,2024-10-01,0.004291610395911194,0.005504830272538856,0.0012132198766276617,0.005607818649884162,0.0012132198766276617,False,True,-0.0012132198766276617
2214,Eletrobras,2015-01-01,0.17955756684442226,-0.05624013218085555,0.2357976990252778,0.06542862674376618,0.2357976990252778,True,False,0.2357976990252778
2215,Eletrobras,2015-04-01,0.07620819015908542,-0.010358634788616516,0.08656682494770193,0.11236990112696,0.08656682494770193,False,True,0.08656682494770193
2216,Eletrobras,2015-07-01,-0.09555384784909537,0.005196475574904553,0.10075032342399992,0.10778442637602588,0.10075032342399992,False,True,-0.10075032342399992
2217,Eletrobras,2015-10-01,0.05898902199992806,-0.006028704443167014,0.06501772644309507,0.10562381962818554,0.06501772644309507,False,True,0.06501772644309507
2218,Eletrobras,2016-01-01,-0.0065370317180010185,0.001961915032449406,0.008498946750450424,0.10150081104847712,0.008498946750450424,False,True,-0.008498946750450424
2219,Eletrobras,2016-04-01,0.3230860936497191,-0.008151889166134126,0.3312379828158532,0.09572564541940472,0.3312379828158532,True,False,0.3312379828158532
2220,Eletrobras,2016-07-01,-0.20540437429460834,0.01974552641572742,0.22514990071033575,0.13379422598279364,0.22514990071033575,False,True,-0.22514990071033575
2221,Eletrobras,2016-10-01,-0.14011885155455173,0.001040282352102393,0.14115913390665413,0.14420512351770262,0.14115913390665413,False,True,-0.14115913390665413
2222,Eletrobras,2017-01-01,0.14018067327123074,0.009175400812525943,0.1310052724587048,0.13431059005425308,0.1310052724587048,False,True,0.1310052724587048
2223,Eletrobras,2017-04-01,-0.02478452385024732,-0.002291732429645544,0.022492791420601777,0.1266561252418125,0.022492791420601777,False,True,-0.022492791420601777
2224,Eletrobras,2017-07-01,0.013422279120912872,-0.011960487587794371,0.025382766708707243,0.12153728885124394,0.025382766708707243,False,True,0.025382766708707243
2225,Eletrobras,2017-10-01,-0.03616504416766542,-0.02139444228666344,0.014770601881001977,0.11024340973536689,0.014770601881001977,False,True,-0.014770601881001977
2226,Eletrobras,2018-01-01,0.05430596886592509,-0.007384409910384952,0.06169037877631004,0.09489956763752373,0.06169037877631004,False,True,0.06169037877631004
2227,Eletrobras,2018-04-01,-0.04354421893694127,0.061444062822947974,0.10498828175988925,0.08936430671497136,0.10498828175988925,False,True,-0.10498828175988925
2228,Eletrobras,2018-07-01,0.06348729066094072,0.013368414279095539,0.05011887638184518,0.09070194897166949,0.05011887638184518,False,True,0.05011887638184518
2229,Eletrobras,2019-01-01,-0.013072166279992192,0.015906718796299697,0.02897888507629189,0.08282779457106165,0.02897888507629189,False,True,-0.02897888507629189
2230,Eletrobras,2019-04-01,-0.04129476195038717,0.03921291499170059,0.08050767694208777,0.08094030548852084,0.08050767694208777,False,True,-0.08050767694208777
2231,Eletrobras,2019-07-01,0.05507303321855028,0.006425972916270621,0.04864706030227966,0.08041611409272674,0.04864706030227966,False,True,0.04864706030227966
2232,Eletrobras,2019-10-01,-0.02128929834965887,0.005880054136982162,0.02716935248664103,0.07750728045329253,0.02716935248664103,False,True,-0.02716935248664103
2233,Eletrobras,2020-01-01,-0.014754682421397214,-0.013717847121655297,0.0010368352997419169,0.07526526728120685,0.0010368352997419169,False,True,-0.0010368352997419169
2234,Eletrobras,2020-04-01,0.03743480141834743,0.02179271033792673,0.015642091080420698,0.07462358398923012,0.015642091080420698,False,True,0.015642091080420698
2235,Eletrobras,2020-07-01,-0.014758631045412307,-0.00825726217809383,0.006501368867318478,0.07073469140591962,0.006501368867318478,False,True,-0.006501368867318478
2236,Eletrobras,2020-10-01,0.010318358127007654,0.00933684057157021,0.0009815175554374438,0.06838372090032611,0.0009815175554374438,False,True,0.0009815175554374438
2237,Eletrobras,2021-01-01,0.0169644445009558,0.0007991542045054006,0.016165290296450398,0.06765874129496596,0.016165290296450398,False,True,0.016165290296450398
2238,Eletrobras,2021-04-01,-0.10836234487230012,-0.02270085920261699,0.08566148566968312,0.06403039766626878,0.08566148566968312,False,True,-0.08566148566968312
2239,Eletrobras,2021-07-01,0.25897069401125217,0.06008183394195376,0.1988888600692984,0.06364547295919787,0.1988888600692984,True,False,0.1988888600692984
2240,Eletrobras,2021-10-01,-0.08551667387791673,-0.07990465819563937,0.005612015682277358,0.0682629851903942,0.005612015682277358,False,True,-0.005612015682277358
2241,Eletrobras,2022-01-01,-0.05930009386719903,-0.005809075744411407,0.05349101812278763,0.06643788130877834,0.05349101812278763,False,True,-0.05349101812278763
2242,Eletrobras,2022-04-01,-0.3698906704376739,-0.06630679202889475,0.3035838784087791,0.06720309298972625,0.3035838784087791,True,False,-0.3035838784087791
